KIC,Error
6231538,0.1410997923095025
6606229,0.00724323297481908
6963490,0.13346272816363242
7300184,0.2084410631343746
7900367,0.009958641176878287
7915515,0.009805754920438186
9851822,0.014344360355907375
10350769,0.007606519791964119
10355055, 0.0000001111111
10415087,0.18726431660977047
11027806,0.0
11769929,0.13321416508214554
12216817,0.08738593462138128
1849235,0.15031191833522703
3424493,0.28308471940742125
3648131,0.012734742248859884
3965879,0.018905120524065896
4072890,0.0
8264404,0.006249938029662711
8330102,0.0209310445121157
8453431,0.014219369364812046
8493159,0.10750438773453616
8585472,0.018244905257723102
8845312,0.026579975869766743
9050337,0.008797654052747088
4544967,0.006284977626936629
4569150,0.025544967602581
4577647,0.06299790963746561
4940217,0.02325496898639616
5108514,0.030481331116303335
5358323,0.002154209556746462
5900260,0.010662238731230868
9051991,0.04662850741224544
9306095,0.21811166140277113
9368220,0.016500384992658556
9368524,0.07801014759817165
9649801,0.012223653636092126
9775887,0.025736782621138665
9532219,6.8269903204349776
9594189,0.026887343900574755
9897710,0.01610278680683015
9717148,0.015289511252165412
2581626,0.6011870255454016
2972514,0.5943265925500327
3119295,0.8020046621711171
3953144,0.028649259672778118
4036687,3.2376922127219916
4066203,0.16580793834760293
4243668,0.007558823472273971
4374279,0.22162832228373397
4466691,0.16878604942300585
4547067,0.06251101211759814
4651526,0.2143555238894491
4995588,0.003975323964906825
5027750,0.016227120618767917
5284701,0.008102550403992805
5286485,0.01310255354966028
5353653,0.020243322627185777
5357882,0.08973338128414392
5534340,0.16272207159004434
5707205,0.014828479829823299
5788165,0.010853600164189708
6304420,0.008958595990847251
6442207,0.4584989083217337
6444630,0.08673092918172032
6778487,0.35699352134672524
6836820,0.38282219580586946
6955650,0.10627486894039288
7048016,0.01309247364558434
7124161,0.1822834042023939
7347529,0.08649333041583465
7521682,0.7102753748094156
7601767,0.19270547807816632
7617649,0.57100769174455
7668283,0.014224200235082595
7750215,0.3963543152534848
7905603,0.068845700042384
7937097,0.7323962302473207
7948091,0.2305429666838523
7984934,0.04435597736722607
8052082,0.006009398977296037
8087649,0.10911485398709522
8090059,0.007243256691695995
8144212,0.006427454107678577
8150307,0.004655255046794567
8245366,0.0254245389098954
8248967,34.538118514971146
8249829,0.6051345810716247
8315263,0.03180551717858812
8393922,0.00559116239106707
8516900,0.3725684689627329
8648251,0.011348381611040655
8649814,0.39859349904502295
8960514,1.6323599480206699
8963394,0.6813310529509344
9075949,0.6361747031455404
9077483,1.9435126239459062
9137819,20.181416902011104
9202969,0.41756238010721186
9214444,0.0031462695748234984
9364179,0.005950357234530495
9594857,0.023313519320483426
9614153,0.0059310403396977225
9700322,   0.00000001
9706609,0.019032495165012004
9724292,0.013822796650994933
9942562,0.0
10451090,12.254617129110375
11143576,0.4363544448395827
11704101,0.4281535380743104
11852985,0.012543134118890553